2023-02-17 02:11:57 INFO     Random seed: 0
2023-02-17 02:11:59 INFO     Saving: log/fb15k-237/TripleRE/16-6.0/1676599917.175061
2023-02-17 02:11:59 INFO     Model: TripleRE
2023-02-17 02:11:59 INFO     Dataset: fb15k-237
2023-02-17 02:11:59 INFO     #entity: 14505
2023-02-17 02:11:59 INFO     #relation: 237
2023-02-17 02:11:59 INFO     #train: 272115
2023-02-17 02:11:59 INFO     #valid: 17526
2023-02-17 02:11:59 INFO     #test: 20438
2023-02-17 02:12:03 INFO     Model Parameter Configuration:
2023-02-17 02:12:03 INFO     Parameter gamma: torch.Size([1]), require_grad = False
2023-02-17 02:12:03 INFO     Parameter embedding_range: torch.Size([1]), require_grad = False
2023-02-17 02:12:03 INFO     Parameter relation_embedding.weight: torch.Size([237, 48]), require_grad = True
2023-02-17 02:12:03 INFO     Parameter anchor_embedding.weight: torch.Size([2305, 16]), require_grad = True
2023-02-17 02:12:03 INFO     Parameter attn_layers.0.norm1.weight: torch.Size([16]), require_grad = True
2023-02-17 02:12:03 INFO     Parameter attn_layers.0.norm1.bias: torch.Size([16]), require_grad = True
2023-02-17 02:12:03 INFO     Parameter attn_layers.0.norm2.weight: torch.Size([16]), require_grad = True
2023-02-17 02:12:03 INFO     Parameter attn_layers.0.norm2.bias: torch.Size([16]), require_grad = True
2023-02-17 02:12:03 INFO     Parameter attn_layers.0.attn.qk.weight: torch.Size([128, 16]), require_grad = True
2023-02-17 02:12:03 INFO     Parameter attn_layers.0.mlp.linear1.weight: torch.Size([32, 16]), require_grad = True
2023-02-17 02:12:03 INFO     Parameter attn_layers.0.mlp.linear1.bias: torch.Size([32]), require_grad = True
2023-02-17 02:12:03 INFO     Parameter attn_layers.0.mlp.linear2.weight: torch.Size([16, 32]), require_grad = True
2023-02-17 02:12:03 INFO     Parameter attn_layers.0.mlp.linear2.bias: torch.Size([16]), require_grad = True
2023-02-17 02:12:03 INFO     Parameter path_embeddings.weight: torch.Size([475, 32]), require_grad = True
2023-02-17 02:12:03 INFO     Total number of params: 66642
2023-02-17 02:12:04 INFO     Ramdomly Initializing TripleRE Model...
2023-02-17 02:12:04 INFO     Calculating sample weights...
2023-02-17 02:12:06 INFO     Creating train dataloader...
2023-02-17 02:12:17 INFO     Using cached matrix: /home/zpw/StarGraph/cached_matrices/matrix_fb15k-237_k3_nrw1000.npz
2023-02-17 02:12:22 INFO     Using cached matrix: /home/zpw/StarGraph/cached_matrices/matrix_fb15k-237_k3_nrw1000.npz
2023-02-17 02:12:22 INFO     Start Training...
2023-02-17 02:12:22 INFO     init_step = 0
2023-02-17 02:12:22 INFO     batch_size = 8
2023-02-17 02:12:22 INFO     negative_adversarial_sampling = 1
2023-02-17 02:12:22 INFO     hidden_dim = 16
2023-02-17 02:12:22 INFO     gamma = 6.000000
2023-02-17 02:12:22 INFO     negative_adversarial_sampling = True
2023-02-17 02:12:22 INFO     adversarial_temperature = 2.000000
2023-02-17 02:12:22 INFO     learning_rate = 0
